iter	Passed	Remaining
0	38	38497
1	64	31948
2	91	30406
3	118	29513
4	145	28915
5	174	28952
6	201	28568
7	227	28233
8	256	28269
9	282	27999
10	307	27673
11	331	27293
12	356	27084
13	381	26863
14	404	26561
15	431	26529
16	455	26350
17	482	26323
18	506	26151
19	530	25985
20	554	25866
21	579	25750
22	602	25577
23	626	25466
24	651	25395
25	676	25352
26	698	25181
27	724	25167
28	746	25009
29	770	24911
30	793	24804
31	816	24701
32	841	24667
33	870	24730
34	895	24677
35	922	24714
36	952	24782
37	981	24849
38	1026	25299
39	1061	25483
40	1106	25892
41	1153	26301
42	1208	26894
43	1262	27436
44	1292	27428
45	1328	27561
46	1358	27552
47	1388	27540
48	1418	27522
49	1445	27464
50	1477	27492
51	1507	27478
52	1535	27440
53	1566	27441
54	1591	27346
55	1620	27315
56	1644	27207
57	1669	27118
58	1696	27055
59	1719	26945
60	1750	26946
61	1779	26929
62	1812	26956
63	1839	26906
64	1868	26880
65	1894	26806
66	1926	26821
67	1955	26797
68	1983	26768
69	2010	26716
70	2035	26629
71	2061	26572
72	2087	26513
73	2115	26466
74	2140	26395
75	2167	26350
76	2199	26367
77	2229	26350
78	2254	26286
79	2283	26263
80	2309	26205
81	2335	26141
82	2363	26109
83	2387	26031
84	2411	25963
85	2437	25901
86	2461	25827
87	2485	25759
88	2509	25691
89	2534	25626
90	2561	25589
91	2587	25542
92	2612	25475
93	2636	25411
94	2662	25367
95	2688	25320
96	2716	25292
97	2741	25234
98	2767	25189
99	2796	25164
100	2823	25135
101	2850	25096
102	2878	25072
103	2904	25025
104	2931	24985
105	2959	24956
106	2984	24908
107	3008	24851
108	3035	24813
109	3058	24744
110	3081	24680
111	3106	24628
112	3130	24569
113	3153	24509
114	3181	24484
115	3206	24437
116	3251	24540
117	3305	24705
118	3348	24788
119	3371	24727
120	3399	24698
121	3426	24656
122	3450	24604
123	3476	24557
124	3499	24499
125	3531	24499
126	3556	24446
127	3581	24397
128	3604	24339
129	3627	24277
130	3650	24216
131	3673	24158
132	3700	24123
133	3725	24074
134	3748	24020
135	3773	23970
136	3794	23902
137	3816	23840
138	3840	23788
139	3862	23729
140	3886	23679
141	3907	23611
142	3932	23567
143	3956	23519
144	3979	23463
145	4003	23418
146	4026	23365
147	4048	23307
148	4071	23254
149	4095	23209
150	4122	23181
151	4151	23158
152	4178	23133
153	4204	23095
154	4230	23060
155	4253	23014
156	4274	22949
157	4297	22900
158	4318	22840
159	4340	22789
160	4365	22748
161	4389	22706
162	4415	22672
163	4434	22605
164	4455	22548
165	4478	22499
166	4497	22434
167	4518	22378
168	4539	22319
169	4560	22267
170	4582	22217
171	4601	22152
172	4622	22095
173	4641	22031
174	4661	21975
175	4679	21909
176	4698	21845
177	4716	21778
178	4736	21726
179	4756	21668
180	4776	21610
181	4799	21570
182	4820	21523
183	4841	21472
184	4862	21422
185	4881	21362
186	4900	21307
187	4920	21254
188	4942	21208
189	4962	21157
190	4983	21108
191	5005	21063
192	5026	21017
193	5045	20963
194	5065	20913
195	5087	20870
196	5108	20821
197	5128	20774
198	5150	20729
199	5169	20677
200	5188	20626
201	5210	20586
202	5232	20542
203	5252	20494
204	5271	20443
205	5289	20387
206	5308	20335
207	5327	20286
208	5346	20234
209	5366	20187
210	5384	20135
211	5408	20104
212	5430	20063
213	5450	20018
214	5471	19978
215	5489	19926
216	5507	19873
217	5526	19825
218	5545	19775
219	5564	19728
220	5583	19682
221	5603	19637
222	5625	19600
223	5649	19571
224	5671	19533
225	5700	19521
226	5727	19504
227	5754	19483
228	5779	19458
229	5803	19429
230	5828	19402
231	5851	19370
232	5872	19330
233	5894	19296
234	5917	19264
235	5935	19214
236	5955	19173
237	5976	19134
238	5996	19093
239	6016	19052
240	6034	19005
241	6056	18969
242	6077	18933
243	6096	18889
244	6114	18844
245	6135	18804
246	6159	18777
247	6180	18740
248	6199	18697
249	6219	18658
250	6240	18622
251	6261	18587
252	6281	18546
253	6303	18514
254	6324	18476
255	6344	18438
256	6363	18396
257	6382	18355
258	6401	18314
259	6420	18273
260	6439	18233
261	6458	18191
262	6477	18152
263	6500	18123
264	6522	18090
265	6541	18050
266	6562	18016
267	6585	17987
268	6605	17950
269	6624	17911
270	6644	17873
271	6664	17836
272	6684	17801
273	6703	17762
274	6723	17726
275	6743	17690
276	6762	17651
277	6783	17617
278	6803	17581
279	6822	17543
280	6839	17501
281	6857	17459
282	6875	17419
283	6893	17380
284	6913	17343
285	6934	17310
286	6954	17277
287	6974	17243
288	6994	17209
289	7014	17174
290	7034	17139
291	7053	17101
292	7072	17065
293	7092	17031
294	7112	16998
295	7151	17008
296	7172	16976
297	7191	16940
298	7211	16907
299	7229	16869
300	7247	16830
301	7266	16793
302	7285	16759
303	7303	16721
304	7323	16687
305	7343	16655
306	7365	16625
307	7384	16591
308	7405	16559
309	7423	16523
310	7444	16491
311	7462	16455
312	7480	16418
313	7501	16387
314	7519	16351
315	7543	16327
316	7565	16300
317	7585	16267
318	7606	16239
319	7627	16209
320	7648	16178
321	7667	16145
322	7688	16115
323	7707	16081
324	7726	16048
325	7746	16015
326	7764	15981
327	7785	15949
328	7805	15918
329	7824	15886
330	7844	15855
331	7863	15822
332	7883	15790
333	7904	15762
334	7923	15728
335	7942	15695
336	7961	15663
337	7982	15634
338	8004	15606
339	8022	15572
340	8040	15538
341	8058	15504
342	8078	15473
343	8099	15445
344	8119	15414
345	8138	15382
346	8157	15350
